iter	best_pop	best_loss	best_acc	avg_fitness
1	39	2.3003	0.1238	0.102
2	2	2.3019	0.1348	0.1009
3	1	2.3021	0.1318	0.0976
4	0	2.3021	0.1336	0.1005
2	1	2.3014	0.1396	0.0997
8	0	2.3019	0.1366	0.0993
9	1	2.2989	0.1384	0.1026
2	1	2.3019	0.133	0.1024
3	1	2.302	0.1348	0.102
4	1	2.3028	0.1376	0.101
5	0	2.3045	0.1336	0.0978
6	0	2.3019	0.1342	0.1026
7	1	2.301	0.1374	0.1032
8	1	2.3013	0.1376	0.0993
9	1	2.3008	0.1426	0.1002
10	1	2.3028	0.1332	0.0986
11	1	2.3018	0.1376	0.0998
12	1	2.3021	0.1328	0.1019
13	1	2.3027	0.1362	0.101
14	27	2.3034	0.1424	0.1055
15	0	2.2997	0.1432	0.1014
16	0	2.3033	0.1352	0.1011
17	1	2.3043	0.1368	0.0997
10	1	2.2998	0.1398	0.1015
11	1	2.2995	0.1416	0.102
12	1	2.3015	0.1354	0.1027
13	1	2.2998	0.1386	0.102
5	1	2.3015	0.1362	0.1002
6	1	2.3021	0.1334	0.1019
7	23	2.3019	0.1456	0.1035
8	1	2.3022	0.1482	0.1016
9	1	2.3021	0.146	0.1049
10	1	2.3023	0.1432	0.1024
1	24	2.3019	0.1354	0.104
2	1	2.3015	0.1326	0.099
3	1	2.3018	0.1352	0.1008
4	36	2.2973	0.1348	0.1019
5	1	2.2944	0.1416	0.1027
6	30	2.2905	0.133	0.0994
7	0	2.301	0.135	0.0991
8	1	2.2992	0.1302	0.0996
9	1	2.2963	0.133	0.1001
10	1	2.3007	0.1388	0.1041
11	19	2.3017	0.1468	0.1048
12	1	2.303	0.1384	0.1004
13	1	2.305	0.1402	0.0986
14	1	2.3021	0.1446	0.102
15	1	2.3046	0.1428	0.1021
16	10	2.3009	0.143	0.0986
17	25	2.3287	0.14	0.1052
18	0	2.3008	0.14	0.1053
19	0	2.3244	0.1366	0.1006
20	0	2.3624	0.1372	0.0976
21	1	2.3473	0.1492	0.1028
22	0	2.2986	0.1504	0.1055
23	0	2.3018	0.1466	0.1033
24	1	2.3021	0.1462	0.1028
25	0	2.3022	0.1478	0.1013
26	0	2.3018	0.1454	0.1019
27	0	2.3022	0.145	0.1013
28	32	2.3006	0.1472	0.1001
29	0	2.3021	0.1412	0.1024
30	0	2.3019	0.1474	0.1022
1	39	2.302	0.1272	0.0988
2	17	2.3089	0.1418	0.1042
3	1	2.3128	0.1352	0.1002
4	0	2.3022	0.1438	0.1069
5	30	2.3234	0.1444	0.0996
6	0	2.315	0.1388	0.1026
7	0	2.3249	0.1424	0.1011
8	33	2.3024	0.1384	0.1013
9	0	2.3282	0.1374	0.1051
10	0	2.3032	0.1362	0.1001
11	0	2.3251	0.1434	0.0998
12	0	2.3024	0.1426	0.1035
13	1	2.3018	0.152	0.1038
14	1	2.3025	0.1446	0.1038
15	1	2.3021	0.1438	0.1008
16	1	2.3027	0.1398	0.0999
17	0	2.3027	0.1394	0.1057
18	1	2.3027	0.1358	0.0996
19	15	2.3039	0.138	0.1026
20	1	2.3026	0.1464	0.1041
21	0	2.3019	0.1368	0.1004
22	1	2.3013	0.1494	0.1027
23	1	2.3021	0.1462	0.105
24	0	2.3035	0.1426	0.1013
25	0	2.3021	0.138	0.1038
26	0	2.3036	0.1432	0.1022
27	29	2.2978	0.1472	0.1045
28	1	2.2972	0.1454	0.1037
29	1	2.2975	0.1392	0.1018
30	1	2.2974	0.1458	0.0995
31	1	2.2972	0.1424	0.1031
32	1	2.2969	0.1492	0.1024
33	1	2.2981	0.1452	0.1027
34	1	2.2975	0.1398	0.1042
35	1	2.2973	0.1494	0.0999
36	1	2.2971	0.1468	0.1016
37	1	2.2973	0.1448	0.1031
38	0	2.303	0.138	0.1043
39	0	2.2974	0.1452	0.1051
40	1	2.297	0.1492	0.1013
41	1	2.2964	0.144	0.1033
42	0	2.302	0.1462	0.1014
43	0	2.2974	0.1464	0.099
31	1	2.3024	0.1548	0.1044
32	1	2.3019	0.153	0.0991
33	0	2.3038	0.1554	0.1023
34	0	2.3012	0.1524	0.1031
35	1	2.3009	0.153	0.1022
36	1	2.3022	0.1532	0.1006
37	1	2.302	0.1524	0.1028
38	1	2.3023	0.1558	0.1001
39	1	2.3012	0.1538	0.1046
40	1	2.3018	0.1562	0.099
41	0	2.3015	0.1422	0.1034
42	0	2.3012	0.1542	0.0996
43	0	2.3011	0.155	0.1047
44	0	2.3024	0.1554	0.1057
45	1	2.3017	0.1552	0.1039
46	1	2.3019	0.1552	0.0997
47	1	2.3019	0.1552	0.0992
48	1	2.3014	0.1596	0.1053
49	1	2.3019	0.1556	0.1024
50	0	2.3013	0.1534	0.1059
51	0	2.3018	0.1516	0.106
52	1	2.3024	0.146	0.1032
53	1	2.3023	0.1524	0.1023
54	1	2.3014	0.158	0.103
55	1	2.302	0.1512	0.1028
56	1	2.3017	0.154	0.1058
57	1	2.3018	0.1524	0.101
58	1	2.3014	0.163	0.1016
59	0	2.3024	0.1574	0.1025
60	0	2.3015	0.1532	0.1017
61	0	2.3017	0.1554	0.104
62	1	2.3029	0.148	0.1016
63	1	2.3018	0.158	0.1013
64	1	2.3014	0.161	0.1015
65	1	2.3013	0.1564	0.0975
66	0	2.3014	0.1604	0.1039
67	0	2.3019	0.1544	0.1001
68	0	2.3025	0.1548	0.1027
69	1	2.3021	0.1474	0.1003
70	1	2.3024	0.1574	0.1005
44	26	2.3166	0.1552	0.1014
45	1	2.3232	0.1538	0.1001
46	1	2.3156	0.1554	0.104
47	1	2.3196	0.1558	0.0999
48	1	2.3121	0.156	0.1006
49	1	2.3171	0.159	0.0981
50	1	2.3246	0.152	0.1023
51	1	2.3147	0.1608	0.1057
52	1	2.3121	0.1558	0.1021
53	1	2.3179	0.154	0.1022
54	1	2.3139	0.155	0.0995
55	1	2.3205	0.152	0.103
56	1	2.3213	0.154	0.0999
57	1	2.3192	0.1476	0.1027
58	0	2.2969	0.147	0.1024
59	0	2.3187	0.1546	0.1052
60	1	2.324	0.162	0.0989
61	1	2.3203	0.1528	0.1036
62	1	2.3227	0.1578	0.1064
63	1	2.3147	0.1562	0.1034
64	1	2.314	0.151	0.102
65	1	2.3174	0.1486	0.0992
66	0	2.3053	0.1574	0.102
67	0	2.316	0.1574	0.1014
68	0	2.3047	0.1568	0.1032
69	0	2.3138	0.1594	0.0998
70	1	2.3208	0.1546	0.1004
11	0	2.3026	0.1428	0.1
12	0	2.3019	0.1502	0.1013
13	1	2.302	0.1496	0.1035
14	1	2.3024	0.1442	0.1005
15	1	2.3022	0.1476	0.1042
16	0	2.3026	0.1424	0.098
17	0	2.3022	0.1466	0.0985
18	0	2.3024	0.1444	0.1046
19	0	2.302	0.149	0.1024
20	1	2.3023	0.1506	0.1039
21	1	2.302	0.1454	0.0981
22	1	2.3022	0.1412	0.101
23	1	2.3023	0.1414	0.0997
24	17	2.3032	0.1454	0.1042
25	1	2.3019	0.1538	0.1022
26	0	2.3023	0.15	0.102
27	0	2.3024	0.149	0.1035
28	0	2.302	0.1476	0.0998
29	1	2.3023	0.1478	0.1048
30	0	2.3023	0.1506	0.1033
31	1	2.3022	0.148	0.1014
32	1	2.3023	0.1574	0.104
33	0	2.3009	0.1488	0.1021
34	22	2.3037	0.1508	0.1026
35	1	2.3028	0.1526	0.1037
36	0	2.3013	0.151	0.1032
37	1	2.302	0.1528	0.1004
38	0	2.3038	0.1512	0.102
39	0	2.3007	0.1536	0.0987
40	0	2.303	0.1548	0.1028
41	0	2.3012	0.1482	0.1021
42	0	2.3033	0.1528	0.1023
43	1	2.3039	0.1582	0.1034
