iter	best_pop	best_loss	best_acc	avg_fitness
1	11	2.3016	0.116	0.1022
2	1	2.3032	0.119	0.103
3	17	2.3003	0.1146	0.1028
4	13	2.3035	0.1208	0.1039
5	13	2.3041	0.1182	0.1054
6	17	2.2998	0.1204	0.1055
7	13	2.3049	0.1188	0.1062
8	14	2.3041	0.1214	0.1072
9	13	2.3039	0.119	0.1061
10	14	2.3041	0.1248	0.107
iter	best_pop	best_loss	best_acc	avg_fitness
1	5	2.2997	0.1246	0.1048
2	5	2.2996	0.1268	0.1049
3	5	2.2994	0.132	0.1054
4	5	2.3003	0.1302	0.1052
5	5	2.3004	0.1246	0.1054
6	14	2.3028	0.1202	0.1068
7	19	2.3028	0.1412	0.108
8	19	2.3025	0.1438	0.1087
9	19	2.3025	0.142	0.1063
10	19	2.3028	0.1428	0.1074
