iter	accuracy
0	269.16757
1000	0.0
2000	2.2013772
3000	0.0
4000	0.0
5000	0.0
6000	0.0
7000	0.0
8000	0.0
9000	0.0
10000	0.0
11000	0.0
12000	0.0
13000	0.0
14000	0.0
15000	0.0
16000	0.0
17000	0.0
18000	0.0
19000	0.0
20000	0.0
21000	0.0
22000	0.0
23000	0.0
24000	0.0
25000	0.0
26000	0.0
27000	0.0
28000	0.0
29000	0.0
30000	0.0
31000	0.0
32000	0.0
33000	0.0
34000	0.0
35000	0.0
36000	0.0
37000	0.0
38000	0.0
39000	0.0
40000	0.0
41000	0.0
42000	0.0
43000	0.0
44000	0.0
45000	0.0
46000	0.0
47000	0.0
48000	0.0
49000	0.0
50000	0.0
51000	0.0
52000	0.0
53000	0.0
54000	0.0
55000	0.0
56000	0.0
57000	0.0
58000	0.0
59000	0.0
0	273.35452
2000	0.24024768
4000	0.23951554
6000	0.19737229
8000	0.21119523
10000	0.47829175
12000	0.4364729
14000	0.46579176
16000	0.4522167
18000	0.47048265
20000	0.46136016
22000	0.4630978
24000	1.4487389
26000	1.4210713
28000	1.364352
30000	1.3990668
32000	1.3780425
34000	1.4265516
36000	1.3802081
38000	1.3753654
40000	1.403442
42000	1.6111526
44000	1.6156031
46000	1.6249561
48000	2.0250998
50000	2.0455985
52000	2.0369434
54000	2.0013216
56000	2.0064647
58000	2.0088031
60000	2.0200663
62000	2.0228374
64000	2.0292928
66000	2.0167682
68000	2.0390768
70000	2.0027928
72000	2.049954
74000	2.0076077
76000	2.023403
78000	2.0103939
80000	2.0092447
82000	1.9941761
84000	2.0238645
86000	2.0061023
88000	2.051011
90000	2.0233543
92000	2.026946
94000	2.0049815
96000	1.9729674
98000	2.0153837
100000	2.0034242
102000	2.0311396
104000	2.0263965
106000	2.003322
108000	2.0577927
110000	2.0458255
112000	1.9946445
114000	2.0270813
116000	2.0194468
118000	2.0377944
0	2.2897007
3000	2.0252488
6000	2.0176222
9000	2.0171788
12000	2.0237105
15000	1.9895672
18000	1.9676892
21000	2.006248
24000	1.9770348
27000	1.9702957
30000	1.9897363
33000	1.9964163
36000	1.983033
39000	2.0093002
42000	2.0077367
45000	1.9842033
48000	1.992573
51000	1.9874637
54000	1.9682735
57000	1.9664237
60000	1.9804207
63000	1.9822868
66000	1.9755886
69000	2.0260372
72000	1.9926999
75000	1.9961312
78000	1.9663349
81000	1.9889879
84000	1.9610564
87000	1.9771286
90000	1.9989135
93000	1.957941
96000	2.0002885
99000	2.0176375
102000	1.9729286
105000	2.009829
108000	1.990799
111000	1.9957443
114000	1.9973247
117000	2.00507
120000	1.9804596
123000	2.0123038
126000	2.0307658
129000	2.0066447
132000	1.9735858
135000	2.0064228
138000	1.9673278
141000	2.0060925
144000	1.9879204
147000	1.9889565
150000	2.0021172
153000	1.9925299
156000	1.9786183
159000	1.9849352
162000	2.0067449
165000	1.9864957
168000	1.9712851
171000	2.0119843
174000	1.9804058
177000	1.9673904
0	5.1491756
4000	2.0189865
8000	2.0260625
12000	2.0037446
16000	2.0870404
20000	2.1062393
24000	2.0675054
28000	1.9903336
32000	2.0211823
36000	2.041766
40000	1.9174576
44000	1.9299074
48000	2.1940963
52000	2.0380266
56000	2.0704367
60000	1.9308288
64000	1.7866995
68000	1.9121891
72000	1.864563
76000	1.9826508
80000	2.0380223
84000	2.0577738
88000	1.9639702
92000	1.8798736
96000	1.9653714
100000	2.009164
104000	1.9085152
108000	1.7994196
112000	1.9284899
116000	1.9262054
120000	1.9478213
124000	2.0320125
128000	2.0013885
132000	1.9468619
136000	1.934622
140000	2.0366073
144000	1.9436162
148000	1.890928
152000	1.989557
156000	1.9010605
160000	1.9635403
164000	1.8390688
168000	1.9341408
172000	1.9604616
176000	1.9423968
180000	1.8958111
184000	1.8866793
188000	1.9244449
192000	1.9501766
196000	1.9183728
200000	1.946356
204000	1.8995998
208000	1.9142258
212000	1.9431909
216000	1.924165
220000	1.9831169
224000	1.9310834
228000	1.9211857
232000	1.9403095
236000	1.8722465
0	6.727126
5000	2.2292411
10000	2.1322417
15000	2.2169654
20000	2.1488833
25000	2.2015486
30000	2.1119697
35000	2.1225998
40000	2.2299774
45000	2.131058
50000	2.0663629
55000	2.1771972
60000	2.1144748
65000	2.1784253
70000	2.2224212
75000	2.184512
80000	2.086475
85000	2.1461692
90000	2.09484
95000	2.1058838
100000	2.1731477
105000	2.1316698
110000	2.148792
115000	2.2512956
120000	2.1557243
125000	2.1235213
130000	2.1694603
135000	2.1781154
140000	2.0978205
145000	2.0804367
150000	2.1714306
155000	2.189174
160000	2.1278675
165000	2.133163
170000	2.096978
175000	2.1399875
180000	2.1258194
185000	2.140204
190000	2.1043582
195000	2.1108468
200000	2.1663597
205000	2.131246
210000	2.192595
215000	2.1929297
220000	2.144764
225000	2.156877
230000	2.087075
235000	2.1203952
240000	2.0986383
245000	2.1274953
250000	2.1199164
255000	2.1509888
260000	2.117277
265000	2.113401
270000	2.1002672
275000	2.1303678
280000	2.1450336
