best_pop	best_loss	best_acc	avg_fitness
2	2.3026	0.1398	0.1015
2	2.303	0.141	0.1016
70	2.3024	0.1384	0.1017
70	2.3023	0.1418	0.1023
70	2.3025	0.139	0.1015
2	2.3022	0.1382	0.1015
70	2.3024	0.1386	0.1029
70	2.3024	0.1452	0.1025
70	2.3024	0.1426	0.1032
70	2.3025	0.1414	0.1035
70	2.3024	0.1474	0.1028
70	2.3025	0.141	0.1042
70	2.3024	0.1408	0.1034
70	2.3024	0.152	0.1037
70	2.3025	0.1382	0.1035
2	2.3024	0.1382	0.1036
70	2.3024	0.1382	0.1039
70	2.3025	0.1322	0.104
2	2.3027	0.1344	0.1043
70	2.3024	0.1382	0.1052
70	2.3025	0.1362	0.1045
70	2.3024	0.1448	0.1048
70	2.3024	0.1362	0.1052
70	2.3025	0.1418	0.1055
70	2.3025	0.1424	0.1052
70	2.3025	0.1408	0.1059
70	2.3024	0.1404	0.106
2	2.3033	0.138	0.1054
70	2.3025	0.1438	0.1062
70	2.3024	0.138	0.105
70	2.3024	0.1386	0.1058
70	2.3024	0.1426	0.1057
70	2.3025	0.14	0.1059
2	2.3027	0.1416	0.106
70	2.3024	0.141	0.106
2	2.303	0.139	0.1059
70	2.3024	0.1414	0.1054
70	2.3024	0.1352	0.1048
70	2.3025	0.1476	0.1056
70	2.3024	0.1362	0.1055
70	2.3024	0.1462	0.1065
2	2.3028	0.138	0.106
70	2.3024	0.1384	0.1055
70	2.3024	0.141	0.1067
70	2.3024	0.1368	0.1057
2	2.3024	0.1394	0.1064
70	2.3025	0.1448	0.1065
70	2.3024	0.1384	0.1061
70	2.3024	0.1406	0.1072
70	2.3024	0.1374	0.1058
70	2.3024	0.1364	0.1069
7	2.302	0.1372	0.1073
70	2.3024	0.1402	0.1066
70	2.3024	0.1424	0.1069
70	2.3024	0.1422	0.1063
70	2.3024	0.1396	0.1067
70	2.3024	0.1404	0.1067
70	2.3024	0.1382	0.107
70	2.3024	0.1422	0.1065
57	2.3011	0.14	0.1073
2	2.3027	0.1366	0.1069
70	2.3024	0.1424	0.1078
70	2.3024	0.1388	0.1075
2	2.3025	0.1452	0.1072
70	2.3024	0.1392	0.1078
57	2.3015	0.1376	0.1074
70	2.3024	0.1458	0.1083
70	2.3024	0.1492	0.1075
24	2.2998	0.1518	0.1071
70	2.3024	0.1352	0.108
70	2.3024	0.1396	0.1079
70	2.3024	0.14	0.1083
24	2.3008	0.1434	0.1076
24	2.3004	0.1474	0.1072
24	2.3005	0.1436	0.1083
24	2.3006	0.1464	0.1071
70	2.3023	0.1456	0.1077
24	2.3009	0.1462	0.1091
70	2.3025	0.15	0.1087
2	2.3022	0.1484	0.1083
19	2.301	0.1388	0.1088
24	2.3004	0.145	0.1077
24	2.3008	0.1422	0.1079
70	2.3025	0.1466	0.1095
24	2.3009	0.1418	0.1099
70	2.3025	0.1408	0.1086
24	2.3001	0.1502	0.1087
24	2.3005	0.1488	0.1088
70	2.3024	0.1388	0.1083
24	2.3003	0.1388	0.1083
70	2.3024	0.1486	0.1091
24	2.3004	0.1438	0.1078
70	2.3025	0.1428	0.1084
2	2.3031	0.1414	0.1103
24	2.3004	0.1478	0.109
24	2.3003	0.1482	0.1083
24	2.3005	0.1458	0.1081
70	2.3024	0.1452	0.1086
19	2.3006	0.1462	0.1109
24	2.3004	0.1446	0.1083
24	2.3005	0.1426	0.1092
24	2.3008	0.1418	0.109
24	2.3003	0.1466	0.1084
24	2.3008	0.1416	0.1091
24	2.3005	0.1442	0.1088
70	2.3024	0.1438	0.1095
24	2.3007	0.1514	0.1093
2	2.303	0.139	0.1093
70	2.3025	0.1448	0.1092
24	2.3003	0.1506	0.1089
