best_pop	best_loss	best_acc	avg_fitness
94	2.3038	0.1362	0.0993
92	2.302	0.1368	0.0994
104	2.3025	0.1348	0.0995
67	2.3027	0.1372	0.0997
92	2.3023	0.1402	0.1001
92	2.3019	0.137	0.0999
92	2.3022	0.1358	0.1005
92	2.3021	0.1402	0.1011
92	2.3013	0.1432	0.1012
67	2.303	0.1334	0.1013
104	2.3025	0.1394	0.1013
83	2.3014	0.1366	0.1015
83	2.3009	0.1424	0.1024
92	2.3028	0.138	0.1009
92	2.3015	0.1468	0.1022
83	2.3014	0.141	0.1025
83	2.3015	0.14	0.1027
83	2.3008	0.147	0.1027
83	2.3013	0.1422	0.103
92	2.3024	0.1386	0.1029
108	2.3018	0.1378	0.1031
108	2.302	0.138	0.1027
83	2.3013	0.1374	0.1035
92	2.3014	0.146	0.1038
67	2.3031	0.1404	0.103
92	2.3015	0.1344	0.1031
83	2.3017	0.1458	0.1028
83	2.3016	0.1418	0.1028
83	2.3008	0.1492	0.1039
83	2.3015	0.141	0.1038
92	2.3015	0.1366	0.1036
83	2.3006	0.1526	0.1045
92	2.3028	0.1426	0.1037
92	2.3022	0.1418	0.104
91	2.2999	0.136	0.1042
83	2.3004	0.1442	0.1046
58	2.3033	0.1422	0.1041
58	2.3038	0.1386	0.105
83	2.3022	0.1406	0.1041
58	2.3033	0.1418	0.1043
58	2.3037	0.1394	0.104
83	2.3017	0.1396	0.1042
92	2.3017	0.1392	0.1047
83	2.3011	0.143	0.105
83	2.3016	0.1382	0.1051
92	2.3022	0.1414	0.1056
83	2.3011	0.1462	0.1059
58	2.3038	0.138	0.1055
92	2.3021	0.1382	0.1045
92	2.3017	0.141	0.106
92	2.302	0.143	0.1054
83	2.3011	0.1428	0.1059
104	2.3025	0.1458	0.1053
92	2.302	0.1346	0.1046
83	2.3012	0.1412	0.1053
92	2.3024	0.1418	0.1053
83	2.3014	0.14	0.1055
83	2.3014	0.139	0.1054
83	2.3004	0.1428	0.1054
83	2.3016	0.1398	0.1056
92	2.3021	0.144	0.1059
83	2.3011	0.1438	0.106
83	2.3015	0.1424	0.1065
83	2.302	0.1404	0.1052
92	2.3016	0.1422	0.1049
83	2.3019	0.1406	0.1053
58	2.3035	0.1392	0.1065
58	2.3035	0.1398	0.1055
83	2.3012	0.1436	0.1056
83	2.3011	0.1384	0.1062
58	2.3035	0.1348	0.1051
92	2.3024	0.1398	0.1055
92	2.3015	0.1398	0.1069
104	2.3026	0.1394	0.1062
92	2.3015	0.1418	0.1067
0	2.2963	0.1388	0.1063
83	2.3014	0.1452	0.1054
108	2.303	0.1382	0.1063
83	2.301	0.1392	0.1068
83	2.3013	0.1422	0.1059
77	2.3022	0.144	0.1058
77	2.3023	0.1494	0.1062
77	2.3021	0.147	0.1064
77	2.3025	0.1438	0.1067
77	2.3025	0.1424	0.1073
77	2.3022	0.144	0.1074
77	2.3024	0.1466	0.1063
92	2.3009	0.149	0.1073
77	2.3022	0.1508	0.1059
77	2.3022	0.1432	0.1066
77	2.3019	0.156	0.1066
83	2.3015	0.1436	0.1067
83	2.3014	0.1434	0.1065
77	2.3024	0.1434	0.1064
77	2.302	0.152	0.1065
92	2.3017	0.1472	0.1068
67	2.3024	0.1414	0.1072
77	2.3025	0.147	0.1082
77	2.3027	0.1394	0.1063
77	2.3022	0.1402	0.1069
83	2.3012	0.142	0.1066
77	2.3022	0.145	0.1066
77	2.3023	0.1464	0.1071
77	2.3021	0.1462	0.1071
77	2.3021	0.149	0.1075
77	2.3026	0.1456	0.1067
77	2.3023	0.1478	0.1077
77	2.3024	0.1426	0.1071
77	2.3025	0.1442	0.1069
83	2.3007	0.1516	0.107
