best_pop	best_loss	best_acc	avg_fitness
13	2.3023	0.1482	0.0985
13	2.304	0.1408	0.0984
13	2.3037	0.1488	0.099
13	2.3051	0.1414	0.0991
13	2.3036	0.1442	0.0987
13	2.3034	0.1512	0.0993
13	2.3038	0.1442	0.0998
13	2.3032	0.1484	0.0995
13	2.3039	0.1422	0.0998
13	2.3038	0.1444	0.1007
13	2.3034	0.1432	0.1014
13	2.3039	0.148	0.1002
13	2.3038	0.1488	0.1016
13	2.3025	0.1514	0.1013
13	2.3032	0.1408	0.1012
13	2.3044	0.1414	0.1013
13	2.3031	0.1376	0.1017
13	2.3044	0.1514	0.102
65	2.3035	0.1538	0.102
65	2.3015	0.154	0.102
65	2.3032	0.1594	0.1025
65	2.3016	0.161	0.1024
65	2.3028	0.156	0.1027
65	2.3033	0.1554	0.1042
65	2.3024	0.1556	0.1025
65	2.3034	0.1606	0.1028
65	2.3025	0.1536	0.1034
65	2.302	0.1546	0.1033
65	2.302	0.1526	0.1041
65	2.3017	0.164	0.103
65	2.3035	0.1512	0.1035
65	2.301	0.1676	0.1035
65	2.3013	0.16	0.104
65	2.3032	0.1548	0.1037
65	2.303	0.1478	0.1037
65	2.3017	0.162	0.104
65	2.3015	0.1574	0.1037
65	2.3031	0.152	0.1036
65	2.3036	0.1598	0.1034
65	2.3031	0.1602	0.1042
65	2.3027	0.1554	0.1041
65	2.3031	0.1588	0.1039
65	2.3028	0.1594	0.1041
65	2.3039	0.1526	0.1042
65	2.2997	0.1712	0.1037
65	2.3036	0.1472	0.1042
65	2.3027	0.1538	0.1045
65	2.3032	0.1592	0.1042
65	2.3017	0.1556	0.1048
65	2.3017	0.1596	0.1046
65	2.3019	0.1674	0.1052
65	2.3023	0.1574	0.1045
13	2.3044	0.1502	0.1063
65	2.3025	0.153	0.1053
65	2.3019	0.152	0.1056
65	2.3022	0.162	0.1044
65	2.3018	0.1638	0.1051
65	2.3026	0.1568	0.1048
65	2.3029	0.1564	0.1045
65	2.3025	0.1554	0.1053
65	2.3025	0.1628	0.1052
65	2.3015	0.157	0.1056
65	2.3021	0.1584	0.1065
65	2.3025	0.1536	0.1052
65	2.3022	0.16	0.1047
65	2.3031	0.1554	0.105
65	2.3039	0.1526	0.1047
65	2.3033	0.1514	0.1059
65	2.3009	0.161	0.1058
65	2.303	0.1606	0.1068
65	2.3027	0.1612	0.1058
65	2.3017	0.1562	0.1065
65	2.303	0.1596	0.1062
65	2.303	0.1528	0.1056
65	2.3002	0.1628	0.1059
65	2.3021	0.1558	0.1067
65	2.3027	0.1632	0.1064
65	2.304	0.1504	0.1064
65	2.303	0.1546	0.1058
65	2.3027	0.1562	0.1071
65	2.3006	0.1594	0.1072
13	2.3036	0.1456	0.1068
13	2.3034	0.1556	0.1064
65	2.3032	0.1576	0.1066
65	2.3015	0.1686	0.1064
65	2.3021	0.162	0.1067
65	2.3021	0.163	0.1062
65	2.3025	0.1526	0.1066
65	2.3041	0.1562	0.1056
65	2.3029	0.1568	0.1077
65	2.3024	0.1624	0.1058
65	2.3031	0.1464	0.1063
65	2.3023	0.1628	0.106
65	2.3025	0.1566	0.1065
65	2.3017	0.1642	0.1067
65	2.3024	0.1624	0.1076
65	2.3014	0.1628	0.1067
13	2.304	0.1548	0.1078
65	2.303	0.1546	0.1063
65	2.3025	0.1534	0.1077
65	2.3029	0.1616	0.1066
65	2.3029	0.153	0.1077
65	2.3025	0.157	0.1071
65	2.3022	0.1612	0.1071
65	2.3026	0.1562	0.1075
65	2.3012	0.1602	0.1078
65	2.3033	0.156	0.107
65	2.3019	0.155	0.1063
65	2.3019	0.158	0.108
65	2.3036	0.1546	0.1071
