best_pop	best_loss	best_acc	avg_fitness
57	2.303	0.147	0.1
102	2.3027	0.1498	0.0993
57	2.3023	0.1462	0.1002
102	2.3029	0.1508	0.1011
57	2.3029	0.15	0.1011
102	2.3031	0.1474	0.1007
102	2.3034	0.1488	0.1015
102	2.3017	0.155	0.1022
57	2.3015	0.151	0.101
57	2.3031	0.1496	0.1017
57	2.3015	0.1516	0.1011
102	2.3025	0.1512	0.1025
102	2.3042	0.1444	0.1023
102	2.3033	0.1524	0.1016
57	2.3021	0.1492	0.1022
102	2.3017	0.1514	0.102
57	2.3028	0.1498	0.1025
102	2.3029	0.1522	0.1033
102	2.3031	0.1538	0.1029
57	2.3022	0.1556	0.1033
102	2.3025	0.1486	0.1027
57	2.3026	0.15	0.1032
102	2.303	0.1438	0.1039
102	2.3043	0.1414	0.1038
57	2.3025	0.1522	0.1035
102	2.3025	0.1556	0.1043
57	2.3025	0.1512	0.1041
57	2.3023	0.1516	0.1039
102	2.3034	0.1502	0.104
102	2.3019	0.1602	0.1048
102	2.3024	0.159	0.105
102	2.3024	0.1532	0.1045
57	2.3025	0.1518	0.1039
57	2.3012	0.1544	0.1044
102	2.3022	0.152	0.1049
102	2.3037	0.143	0.1052
102	2.3027	0.1512	0.105
57	2.3026	0.1482	0.1049
57	2.3024	0.149	0.1047
57	2.3032	0.1424	0.1045
102	2.3029	0.1488	0.1058
102	2.3023	0.1494	0.1056
57	2.3029	0.1482	0.1046
102	2.3028	0.1526	0.1059
102	2.3025	0.1584	0.106
57	2.3023	0.1522	0.1052
102	2.303	0.1516	0.1054
102	2.3037	0.14	0.1058
57	2.3018	0.1486	0.105
57	2.2998	0.1612	0.1058
57	2.3023	0.1466	0.1053
102	2.3023	0.1558	0.106
102	2.3031	0.1564	0.1057
57	2.3027	0.1486	0.1068
102	2.3024	0.1498	0.1065
57	2.3021	0.1558	0.1054
102	2.3028	0.1544	0.106
57	2.3027	0.151	0.106
118	2.3022	0.1522	0.1063
118	2.3022	0.1516	0.1056
118	2.3022	0.153	0.1068
102	2.3027	0.1528	0.1073
102	2.3026	0.1542	0.1071
118	2.3022	0.1512	0.106
57	2.3019	0.1608	0.1075
102	2.3038	0.1486	0.1065
102	2.3027	0.1484	0.1063
118	2.3023	0.1416	0.1068
57	2.3028	0.1468	0.1069
102	2.3018	0.1562	0.1068
102	2.3032	0.1522	0.107
57	2.3021	0.1552	0.1071
57	2.3027	0.1518	0.1074
102	2.3021	0.1494	0.1068
57	2.3026	0.1502	0.1062
102	2.3031	0.1536	0.1066
102	2.303	0.1496	0.1066
57	2.3028	0.1488	0.107
57	2.3028	0.146	0.1073
102	2.3021	0.1532	0.108
57	2.3006	0.1562	0.1068
102	2.3027	0.155	0.1079
37	2.3026	0.1566	0.1077
102	2.303	0.1454	0.108
102	2.3024	0.1508	0.1078
102	2.3031	0.1512	0.1075
102	2.3033	0.1484	0.1077
118	2.3022	0.1506	0.1077
102	2.3037	0.148	0.1072
118	2.3023	0.1526	0.1076
102	2.3021	0.1522	0.1077
57	2.3018	0.1528	0.1071
102	2.3031	0.1536	0.1085
102	2.3023	0.1484	0.1073
118	2.3022	0.1474	0.1085
57	2.3004	0.1542	0.1077
37	2.3026	0.1474	0.1075
102	2.3029	0.1512	0.1088
102	2.3039	0.1474	0.1081
102	2.3034	0.1536	0.1079
57	2.302	0.1514	0.1082
118	2.302	0.1538	0.1081
57	2.3021	0.1508	0.1084
102	2.303	0.1492	0.1084
102	2.3028	0.1528	0.1084
37	2.3024	0.1514	0.1084
102	2.3021	0.1536	0.1076
102	2.3017	0.1576	0.1083
102	2.3039	0.1484	0.1083
118	2.3022	0.1464	0.1078
