loss	accuracy
2.303	0.1544
2.3007	0.1638
2.3019	0.1686
2.3018	0.1538
2.3022	0.1582
2.3036	0.1598
2.3017	0.1572
2.3021	0.164
2.3022	0.159
2.3039	0.152
2.3026	0.165
2.3036	0.1566
2.3026	0.1614
2.3021	0.1612
2.3022	0.1606
2.3024	0.1528
2.2999	0.1674
2.3025	0.1538
2.3028	0.1558
2.3024	0.1562
2.3011	0.1648
2.301	0.1632
2.3037	0.1524
2.3019	0.1744
2.3024	0.1604
2.3021	0.1564
2.3036	0.1534
2.3022	0.1544
2.3029	0.1548
2.3022	0.1566
2.3031	0.1558
2.3019	0.162
2.3022	0.1518
2.3018	0.1582
2.3015	0.1632
2.3024	0.154
2.3018	0.1552
2.3029	0.1692
2.304	0.1588
2.3015	0.1626
2.3001	0.1612
2.304	0.1612
2.3018	0.1626
2.3028	0.162
2.3019	0.1536
2.3008	0.1626
2.3028	0.1596
2.3042	0.1516
2.3026	0.1592
2.3022	0.1572
2.3016	0.1664
2.3021	0.1592
2.3039	0.1564
2.3025	0.1618
2.3031	0.1512
2.302	0.1648
2.3021	0.1592
2.3015	0.1558
2.3018	0.1654
2.3025	0.1506
2.3027	0.1592
2.302	0.156
2.3019	0.162
2.3015	0.1638
2.3022	0.1522
2.3029	0.1538
2.3028	0.1608
2.3015	0.1678
2.3021	0.1594
2.3034	0.1558
2.3016	0.1552
2.3012	0.1568
2.3029	0.1574
2.3025	0.1534
2.3039	0.155
2.3013	0.16
2.3048	0.1638
2.3006	0.1674
2.3024	0.1618
2.302	0.16
2.3034	0.1556
2.3027	0.1566
2.3012	0.1694
2.3022	0.162
2.3022	0.1596
2.3025	0.1526
2.3021	0.1588
2.3039	0.1532
2.3023	0.1604
2.3006	0.1626
2.3021	0.1598
2.302	0.165
2.3003	0.164
2.3018	0.1562
2.3019	0.1592
2.3022	0.1578
2.3041	0.154
2.3045	0.1542
2.3015	0.168
2.3026	0.1526
2.302	0.16
2.3031	0.1532
2.3028	0.1628
2.303	0.1648
2.3027	0.1496
2.3022	0.1572
2.302	0.1618
2.3022	0.1578
2.3021	0.159
2.301	0.1646
2.3022	0.1556
2.3035	0.1516
2.3026	0.1668
2.3025	0.154
2.3023	0.1554
2.3027	0.1602
2.3014	0.1554
2.3021	0.1674
2.3027	0.1634
2.3012	0.161
2.3013	0.1672
2.302	0.1578
2.3031	0.15
2.301	0.1644
2.3025	0.1576
2.3034	0.1588
2.3021	0.1606
2.3011	0.1576
2.3042	0.1536
2.3024	0.1632
2.3016	0.1656
2.3027	0.1606
2.3019	0.1646
2.3021	0.1528
2.3027	0.1586
2.3024	0.152
2.3025	0.1606
2.302	0.1644
2.3038	0.1468
2.3014	0.1648
2.3013	0.1632
2.3031	0.1526
2.3013	0.1578
2.3049	0.1454
2.3026	0.1584
2.3006	0.1682
2.3028	0.158
2.3033	0.168
2.3002	0.163
2.303	0.1562
2.2999	0.169
2.3032	0.154
2.3025	0.1612
2.3026	0.1572
2.3017	0.1606
2.3021	0.1566
2.3017	0.1638
2.3009	0.159
2.3006	0.162
2.3035	0.1568
2.3008	0.1554
2.3008	0.1528
2.3016	0.1634
2.3019	0.1668
