best_pop	best_loss	best_acc	avg_fitness
69	2.3006	0.1324	0.0975
69	2.3003	0.1438	0.0981
69	2.2997	0.1406	0.0985
69	2.3004	0.1416	0.0989
69	2.3002	0.1334	0.0998
69	2.3009	0.1348	0.0996
69	2.3012	0.1342	0.0996
69	2.3004	0.1406	0.1
69	2.3006	0.1358	0.1005
95	2.3021	0.1326	0.1
6	2.3034	0.1368	0.1019
7	2.3017	0.136	0.1024
6	2.3035	0.1358	0.1033
6	2.3032	0.1402	0.1032
6	2.3037	0.1466	0.1031
6	2.3029	0.1442	0.1034
6	2.3037	0.1404	0.1034
43	2.3024	0.141	0.1039
6	2.3035	0.1388	0.1036
43	2.3027	0.1366	0.1043
145	2.303	0.1462	0.1005
145	2.3031	0.1428	0.1001
149	2.3026	0.1466	0.1003
145	2.3029	0.148	0.1011
149	2.3032	0.1508	0.1012
14	2.2995	0.1494	0.1011
145	2.3033	0.1416	0.1013
145	2.3027	0.1474	0.1016
149	2.3031	0.1476	0.1012
149	2.3034	0.1486	0.1018
14	2.2983	0.1512	0.102
145	2.3027	0.1476	0.1017
145	2.3034	0.1438	0.1024
149	2.3027	0.146	0.1021
149	2.3033	0.152	0.1025
145	2.303	0.1432	0.1023
149	2.3035	0.149	0.1023
14	2.3001	0.148	0.1021
145	2.3027	0.1502	0.1028
145	2.3031	0.1478	0.1031
149	2.3036	0.1404	0.1024
149	2.3034	0.149	0.1027
145	2.3025	0.1484	0.1036
149	2.3035	0.1434	0.1025
145	2.3029	0.1466	0.1037
145	2.3027	0.1426	0.1032
145	2.303	0.1518	0.1031
145	2.3027	0.1496	0.1028
145	2.303	0.1452	0.1029
145	2.3028	0.154	0.1031
145	2.3033	0.1488	0.1041
14	2.3009	0.1454	0.1035
149	2.3029	0.1536	0.1027
149	2.3034	0.1508	0.103
145	2.3026	0.1546	0.1039
145	2.3034	0.1414	0.1035
149	2.3031	0.1428	0.1036
14	2.3001	0.1454	0.104
14	2.2989	0.1462	0.1044
145	2.3026	0.1476	0.1029
149	2.303	0.1438	0.1035
145	2.3029	0.151	0.104
145	2.3028	0.1458	0.1046
149	2.3031	0.1472	0.1038
149	2.303	0.1478	0.1042
145	2.3026	0.1568	0.1045
149	2.3033	0.1458	0.1039
145	2.3024	0.154	0.1047
149	2.3035	0.1502	0.1042
145	2.3033	0.1504	0.1048
114	2.3021	0.1458	0.1048
14	2.301	0.1422	0.1043
149	2.3032	0.1464	0.1046
149	2.3033	0.1526	0.1049
145	2.3029	0.1436	0.1043
145	2.3031	0.1536	0.1051
145	2.3028	0.1492	0.1046
149	2.3031	0.1442	0.1044
145	2.3027	0.1472	0.1049
149	2.3028	0.1458	0.1044
149	2.3038	0.1456	0.1049
145	2.3032	0.1448	0.1055
14	2.2988	0.1446	0.105
145	2.3028	0.1492	0.1045
149	2.3028	0.1426	0.1051
145	2.3023	0.1522	0.1056
130	2.3011	0.1438	0.1059
14	2.2987	0.1482	0.1048
145	2.3029	0.1462	0.1053
14	2.2997	0.144	0.1061
145	2.3031	0.1458	0.1049
145	2.3028	0.1516	0.1056
145	2.3027	0.1498	0.1059
145	2.3031	0.1422	0.1059
14	2.3004	0.1452	0.1061
149	2.3033	0.1484	0.1058
145	2.3028	0.1462	0.1057
145	2.3034	0.1468	0.1061
149	2.3031	0.1464	0.1055
149	2.303	0.1488	0.1059
145	2.303	0.1482	0.1064
145	2.3028	0.1506	0.1065
145	2.303	0.1476	0.1062
145	2.3033	0.1454	0.1067
145	2.3028	0.149	0.1064
149	2.3027	0.1472	0.106
14	2.2992	0.1436	0.1068
149	2.3033	0.1434	0.1055
145	2.303	0.1482	0.1067
145	2.3025	0.1524	0.1065
145	2.3027	0.1502	0.1063
149	2.3027	0.1448	0.106
145	2.3028	0.1458	0.1069
145	2.3032	0.1484	0.1069
14	2.3001	0.1452	0.1072
145	2.3032	0.146	0.1066
149	2.3026	0.1486	0.1059
149	2.3028	0.1456	0.1063
14	2.3	0.1484	0.1076
145	2.3028	0.1514	0.1072
