best_pop	best_loss	best_acc	avg_fitness
6	2.3019	0.117	0.0982
49	2.3021	0.1228	0.0988
49	2.3027	0.1178	0.1
49	2.3023	0.1252	0.1007
49	2.3024	0.1204	0.1004
15	2.3042	0.1208	0.1007
4	2.3027	0.1204	0.101
49	2.3022	0.1224	0.1017
49	2.3018	0.1202	0.1014
15	2.3057	0.1166	0.1017
12	2.3021	0.1278	0.0999
18	2.3009	0.128	0.1003
31	2.3002	0.1218	0.0971
31	2.3002	0.1218	0.0975
18	2.3016	0.124	0.1028
8	2.2997	0.1294	0.0989
38	2.3026	0.1272	0.0992
8	2.3001	0.1274	0.1008
8	2.2998	0.1288	0.1013
38	2.3026	0.129	0.1018
8	2.3	0.1266	0.1012
8	2.2988	0.1284	0.1026
8	2.3007	0.1266	0.1019
12	2.3024	0.1212	0.0997
45	2.3006	0.1178	0.098
31	2.2999	0.1236	0.0991
1	2.3037	0.1202	0.1003
45	2.3002	0.1236	0.1001
6	2.3029	0.125	0.0986
6	2.3031	0.1266	0.0996
47	2.3016	0.1188	0.0978
8	2.3016	0.1226	0.0998
6	2.3031	0.1298	0.1014
43	2.3026	0.1178	0.1008
6	2.3039	0.1254	0.1001
6	2.3027	0.1292	0.1009
18	2.3013	0.1274	0.1031
40	2.3021	0.125	0.1017
40	2.3026	0.1292	0.1014
12	2.3012	0.1296	0.1011
6	2.3024	0.1304	0.1011
28	2.304	0.134	0.1013
39	2.3015	0.1358	0.1007
6	2.3021	0.1382	0.1026
28	2.3029	0.1334	0.1029
32	2.3005	0.1364	0.103
6	2.3021	0.1394	0.1039
6	2.3022	0.1306	0.1035
26	2.3011	0.1382	0.1017
26	2.3083	0.1358	0.1012
26	2.3067	0.1318	0.1009
14	2.3017	0.1332	0.0996
14	2.3013	0.1354	0.1001
4	2.3023	0.1328	0.0999
4	2.3027	0.1338	0.1022
14	2.3009	0.1424	0.1017
14	2.3017	0.1342	0.1017
4	2.3028	0.1318	0.1024
14	2.3022	0.1304	0.1027
14	2.3013	0.1386	0.1026
14	2.3017	0.1374	0.1031
46	2.3002	0.1344	0.1009
18	2.3009	0.1368	0.1024
12	2.302	0.1302	0.1035
46	2.3004	0.1338	0.1025
46	2.3003	0.1356	0.1039
12	2.3022	0.1286	0.1046
38	2.3024	0.1318	0.101
38	2.3023	0.1358	0.1015
12	2.3014	0.1302	0.1015
47	2.301	0.1302	0.1025
39	2.3128	0.1294	0.1031
39	2.3113	0.131	0.1018
47	2.3008	0.1304	0.1039
39	2.3125	0.1302	0.1019
12	2.3018	0.1372	0.0972
12	2.3024	0.1398	0.0975
12	2.3022	0.1344	0.0979
12	2.302	0.1378	0.0997
12	2.3018	0.1468	0.0998
12	2.3019	0.134	0.1007
6	2.3021	0.1408	0.1015
12	2.302	0.1388	0.1006
39	2.3007	0.1402	0.1025
26	2.3084	0.1422	0.1026
12	2.3017	0.1424	0.1005
12	2.3018	0.1404	0.1006
12	2.3023	0.1318	0.101
6	2.3027	0.1302	0.1016
6	2.3036	0.1252	0.1015
38	2.3018	0.137	0.1014
44	2.3027	0.1374	0.1011
19	2.301	0.1306	0.1019
44	2.3026	0.1374	0.1019
44	2.3028	0.135	0.1025
44	2.3027	0.1328	0.1033
44	2.3026	0.1398	0.1025
44	2.3028	0.1336	0.103
44	2.3027	0.1308	0.1025
44	2.3027	0.1414	0.102
19	2.3022	0.1576	0.105
19	2.3024	0.1498	0.1059
19	2.3022	0.1616	0.1061
19	2.3022	0.1572	0.1081
19	2.3022	0.1628	0.1072
19	2.3023	0.1582	0.1069
19	2.3023	0.1564	0.1068
19	2.3022	0.1608	0.1078
19	2.3023	0.1494	0.1062
19	2.3021	0.1648	0.1069
