iter	best_pop	best_loss	best_acc	avg_fitness
1	6	2.3024	0.1304	0.1011
2	28	2.304	0.134	0.1013
3	6	2.3021	0.1408	0.1015
4	39	2.3015	0.1358	0.1007
5	6	2.3021	0.1382	0.1026
6	28	2.3029	0.1334	0.1029
7	32	2.3005	0.1364	0.103
8	6	2.3021	0.1394	0.1039
9	39	2.3007	0.1402	0.1025
10	6	2.3022	0.1306	0.1035
1	31	2.3002	0.1218	0.0971
2	31	2.3002	0.1218	0.0975
3	45	2.3006	0.1178	0.098
4	31	2.2999	0.1236	0.0991
5	1	2.3037	0.1202	0.1003
6	45	2.3002	0.1236	0.1001
7	26	2.3911	0.1382	0.1017
8	26	2.3983	0.1358	0.1012
9	26	2.3984	0.1422	0.1026
10	26	2.3467	0.1318	0.1009
1	14	2.3017	0.1332	0.0996
2	14	2.3013	0.1354	0.1001
3	4	2.3023	0.1328	0.0999
4	4	2.3027	0.1338	0.1022
5	14	2.3009	0.1424	0.1017
6	14	2.3017	0.1342	0.1017
7	4	2.3028	0.1318	0.1024
8	14	2.3022	0.1304	0.1027
9	14	2.3013	0.1386	0.1026
10	14	2.3017	0.1374	0.1031
1	6	2.3019	0.117	0.0982
2	49	2.3021	0.1228	0.0988
3	49	2.3027	0.1178	0.1
4	49	2.3023	0.1252	0.1007
5	49	2.3024	0.1204	0.1004
6	15	2.3042	0.1208	0.1007
7	4	2.3027	0.1204	0.101
8	49	2.3022	0.1224	0.1017
9	49	2.3018	0.1202	0.1014
10	15	2.3057	0.1166	0.1017
1	12	2.3021	0.1278	0.0999
2	18	2.3009	0.128	0.1003
3	46	2.3002	0.1344	0.1009
4	18	2.3009	0.1368	0.1024
5	18	2.3013	0.1274	0.1031
6	12	2.302	0.1302	0.1035
7	46	2.3004	0.1338	0.1025
8	18	2.3016	0.124	0.1028
9	46	2.3003	0.1356	0.1039
10	12	2.3022	0.1286	0.1046
1	8	2.2997	0.1294	0.0989
2	38	2.3026	0.1272	0.0992
3	38	2.3024	0.1318	0.101
4	8	2.3001	0.1274	0.1008
5	8	2.2998	0.1288	0.1013
6	38	2.3023	0.1358	0.1015
7	38	2.3026	0.129	0.1018
8	8	2.3	0.1266	0.1012
9	8	2.2988	0.1284	0.1026
10	8	2.3007	0.1266	0.1019
1	12	2.3024	0.1212	0.0997
2	12	2.3014	0.1302	0.1015
3	40	2.3021	0.125	0.1017
4	40	2.3026	0.1292	0.1014
5	12	2.3012	0.1296	0.1011
6	47	2.301	0.1302	0.1025
7	39	2.3128	0.1294	0.1031
8	39	2.3113	0.131	0.1018
9	47	2.3008	0.1304	0.1039
10	39	2.3125	0.1302	0.1019
1	12	2.3018	0.1372	0.0972
2	12	2.3024	0.1398	0.0975
3	12	2.3022	0.1344	0.0979
4	12	2.302	0.1378	0.0997
5	12	2.3018	0.1468	0.0998
6	12	2.3019	0.134	0.1007
7	12	2.3017	0.1424	0.1005
8	12	2.302	0.1388	0.1006
9	12	2.3018	0.1404	0.1006
10	12	2.3023	0.1318	0.101
1	6	2.3029	0.125	0.0986
2	6	2.3031	0.1266	0.0996
3	47	2.3016	0.1188	0.0978
4	8	2.3016	0.1226	0.0998
5	6	2.3031	0.1298	0.1014
6	43	2.3026	0.1178	0.1008
7	6	2.3039	0.1254	0.1001
8	6	2.3027	0.1292	0.1009
9	6	2.3027	0.1302	0.1016
10	6	2.3036	0.1252	0.1015
1	38	2.3018	0.137	0.1014
2	44	2.3027	0.1374	0.1011
3	19	2.301	0.1306	0.1019
4	44	2.3026	0.1374	0.1019
5	44	2.3028	0.135	0.1025
6	44	2.3027	0.1328	0.1033
7	44	2.3026	0.1398	0.1025
8	44	2.3028	0.1336	0.103
9	44	2.3027	0.1308	0.1025
10	44	2.3027	0.1414	0.102
1	19	2.3022	0.1576	0.105
2	19	2.3024	0.1498	0.1059
3	19	2.3022	0.1616	0.1061
4	19	2.3022	0.1572	0.1081
5	19	2.3022	0.1628	0.1072
6	19	2.3023	0.1582	0.1069
7	19	2.3023	0.1564	0.1068
8	19	2.3022	0.1608	0.1078
9	19	2.3023	0.1494	0.1062
10	19	2.3021	0.1648	0.1069
