best_pop	best_loss	best_acc	avg_fitness
39	2.3003	0.1238	0.102
2	2.3019	0.1348	0.1009
1	2.3021	0.1318	0.0976
0	2.3021	0.1336	0.1005
1	2.3014	0.1396	0.0997
0	2.3019	0.1366	0.0993
1	2.2989	0.1384	0.1026
1	2.3019	0.133	0.1024
1	2.302	0.1348	0.102
1	2.3028	0.1376	0.101
0	2.3045	0.1336	0.0978
0	2.3019	0.1342	0.1026
1	2.301	0.1374	0.1032
1	2.3013	0.1376	0.0993
1	2.3008	0.1426	0.1002
1	2.3028	0.1332	0.0986
1	2.3018	0.1376	0.0998
1	2.3021	0.1328	0.1019
1	2.3027	0.1362	0.101
27	2.3034	0.1424	0.1055
0	2.2997	0.1432	0.1014
0	2.3033	0.1352	0.1011
1	2.3043	0.1368	0.0997
1	2.2998	0.1398	0.1015
1	2.2995	0.1416	0.102
1	2.3015	0.1354	0.1027
1	2.2998	0.1386	0.102
1	2.3015	0.1362	0.1002
1	2.3021	0.1334	0.1019
23	2.3019	0.1456	0.1035
1	2.3022	0.1482	0.1016
1	2.3021	0.146	0.1049
1	2.3023	0.1432	0.1024
24	2.3019	0.1354	0.104
1	2.3015	0.1326	0.099
1	2.3018	0.1352	0.1008
36	2.2973	0.1348	0.1019
1	2.2944	0.1416	0.1027
30	2.2905	0.133	0.0994
0	2.301	0.135	0.0991
1	2.2992	0.1302	0.0996
1	2.2963	0.133	0.1001
1	2.3007	0.1388	0.1041
19	2.3017	0.1468	0.1048
1	2.303	0.1384	0.1004
1	2.305	0.1402	0.0986
1	2.3021	0.1446	0.102
1	2.3046	0.1428	0.1021
10	2.3009	0.143	0.0986
25	2.3287	0.14	0.1052
0	2.3008	0.14	0.1053
0	2.3244	0.1366	0.1006
0	2.3624	0.1372	0.0976
1	2.3473	0.1492	0.1028
0	2.2986	0.1504	0.1055
0	2.3018	0.1466	0.1033
1	2.3021	0.1462	0.1028
0	2.3022	0.1478	0.1013
0	2.3018	0.1454	0.1019
0	2.3022	0.145	0.1013
32	2.3006	0.1472	0.1001
0	2.3021	0.1412	0.1024
0	2.3019	0.1474	0.1022
39	2.302	0.1272	0.0988
17	2.3089	0.1418	0.1042
1	2.3128	0.1352	0.1002
0	2.3022	0.1438	0.1069
30	2.3234	0.1444	0.0996
0	2.315	0.1388	0.1026
0	2.3249	0.1424	0.1011
33	2.3024	0.1384	0.1013
0	2.3282	0.1374	0.1051
0	2.3032	0.1362	0.1001
0	2.3251	0.1434	0.0998
0	2.3024	0.1426	0.1035
1	2.3018	0.152	0.1038
1	2.3025	0.1446	0.1038
1	2.3021	0.1438	0.1008
1	2.3027	0.1398	0.0999
0	2.3027	0.1394	0.1057
1	2.3027	0.1358	0.0996
15	2.3039	0.138	0.1026
1	2.3026	0.1464	0.1041
0	2.3019	0.1368	0.1004
1	2.3013	0.1494	0.1027
1	2.3021	0.1462	0.105
0	2.3035	0.1426	0.1013
0	2.3021	0.138	0.1038
0	2.3036	0.1432	0.1022
29	2.2978	0.1472	0.1045
1	2.2972	0.1454	0.1037
1	2.2975	0.1392	0.1018
1	2.2974	0.1458	0.0995
1	2.2972	0.1424	0.1031
1	2.2969	0.1492	0.1024
1	2.2981	0.1452	0.1027
1	2.2975	0.1398	0.1042
1	2.2973	0.1494	0.0999
1	2.2971	0.1468	0.1016
1	2.2973	0.1448	0.1031
0	2.303	0.138	0.1043
0	2.2974	0.1452	0.1051
1	2.297	0.1492	0.1013
1	2.2964	0.144	0.1033
0	2.302	0.1462	0.1014
0	2.2974	0.1464	0.099
1	2.3024	0.1548	0.1044
1	2.3019	0.153	0.0991
0	2.3038	0.1554	0.1023
0	2.3012	0.1524	0.1031
1	2.3009	0.153	0.1022
1	2.3022	0.1532	0.1006
1	2.302	0.1524	0.1028
1	2.3023	0.1558	0.1001
1	2.3012	0.1538	0.1046
1	2.3018	0.1562	0.099
0	2.3015	0.1422	0.1034
0	2.3012	0.1542	0.0996
0	2.3011	0.155	0.1047
0	2.3024	0.1554	0.1057
1	2.3017	0.1552	0.1039
1	2.3019	0.1552	0.0997
1	2.3019	0.1552	0.0992
1	2.3014	0.1596	0.1053
1	2.3019	0.1556	0.1024
0	2.3013	0.1534	0.1059
0	2.3018	0.1516	0.106
1	2.3024	0.146	0.1032
1	2.3023	0.1524	0.1023
1	2.3014	0.158	0.103
1	2.302	0.1512	0.1028
1	2.3017	0.154	0.1058
1	2.3018	0.1524	0.101
1	2.3014	0.163	0.1016
0	2.3024	0.1574	0.1025
0	2.3015	0.1532	0.1017
0	2.3017	0.1554	0.104
1	2.3029	0.148	0.1016
1	2.3018	0.158	0.1013
1	2.3014	0.161	0.1015
1	2.3013	0.1564	0.0975
0	2.3014	0.1604	0.1039
0	2.3019	0.1544	0.1001
0	2.3025	0.1548	0.1027
1	2.3021	0.1474	0.1003
1	2.3024	0.1574	0.1005
26	2.3166	0.1552	0.1014
1	2.3232	0.1538	0.1001
1	2.3156	0.1554	0.104
1	2.3196	0.1558	0.0999
1	2.3121	0.156	0.1006
1	2.3171	0.159	0.0981
1	2.3246	0.152	0.1023
1	2.3147	0.1608	0.1057
1	2.3121	0.1558	0.1021
1	2.3179	0.154	0.1022
1	2.3139	0.155	0.0995
1	2.3205	0.152	0.103
1	2.3213	0.154	0.0999
1	2.3192	0.1476	0.1027
0	2.2969	0.147	0.1024
0	2.3187	0.1546	0.1052
1	2.324	0.162	0.0989
1	2.3203	0.1528	0.1036
1	2.3227	0.1578	0.1064
1	2.3147	0.1562	0.1034
1	2.314	0.151	0.102
1	2.3174	0.1486	0.0992
0	2.3053	0.1574	0.102
0	2.316	0.1574	0.1014
0	2.3047	0.1568	0.1032
0	2.3138	0.1594	0.0998
1	2.3208	0.1546	0.1004
0	2.3026	0.1428	0.1
0	2.3019	0.1502	0.1013
1	2.302	0.1496	0.1035
1	2.3024	0.1442	0.1005
1	2.3022	0.1476	0.1042
