best_pop	best_loss	best_acc	avg_fitness
2	2.301	0.1172	0.0914
9	2.305	0.1104	0.0977
11	2.3018	0.127	0.1013
15	2.2994	0.1276	0.1015
11	2.3641	0.147	0.1056
2	2.302	0.1206	0.0971
17	2.3009	0.1254	0.1036
4	2.3023	0.1224	0.0998
9	2.3001	0.1314	0.1012
7	2.3015	0.155	0.1052
19	2.3041	0.1144	0.0996
4	2.302	0.135	0.1036
3	2.3015	0.1356	0.0975
19	2.4375	0.1192	0.0993
3	2.3019	0.1232	0.0943
8	2.2998	0.1248	0.1045
14	2.3002	0.1254	0.0956
18	2.4906	0.1178	0.0964
15	2.3031	0.1416	0.096
10	2.3031	0.1144	0.1002
9	2.4679	0.1164	0.1029
16	2.3019	0.131	0.1056
18	2.325	0.129	0.0992
11	2.3047	0.1354	0.0993
2	2.3021	0.1246	0.101
5	2.3018	0.1148	0.1003
3	2.3051	0.109	0.0992
12	2.3166	0.1308	0.1022
6	2.3035	0.1216	0.1023
9	2.3036	0.115	0.0952
0	2.3026	0.137	0.0965
6	2.3066	0.1126	0.0991
4	2.3022	0.127	0.1029
3	2.3012	0.133	0.103
18	2.3034	0.1244	0.1007
6	2.3085	0.1252	0.102
3	2.7015	0.1158	0.0985
11	2.3036	0.1138	0.0959
17	2.3011	0.126	0.0999
1	2.3019	0.162	0.1026
16	2.3023	0.1194	0.1027
13	2.3008	0.121	0.0988
11	2.3045	0.1172	0.0951
9	2.3157	0.1284	0.0996
4	2.3023	0.1408	0.0999
8	2.3722	0.134	0.1045
17	2.3016	0.1238	0.0998
10	2.3024	0.1306	0.0997
12	2.301	0.1334	0.1014
9	2.3028	0.1144	0.0987
7	2.3037	0.119	0.0966
10	2.3038	0.1224	0.1015
1	2.3025	0.1242	0.0984
5	2.3038	0.12	0.0968
14	2.2957	0.1178	0.0983
14	2.303	0.1252	0.1031
19	3.9948	0.1188	0.1011
12	2.3018	0.1204	0.0974
19	2.3028	0.1132	0.0944
9	2.3029	0.1274	0.0989
9	2.3035	0.1422	0.1017
4	2.3018	0.1248	0.1048
0	2.3008	0.1206	0.0994
13	2.3025	0.1312	0.1034
7	2.3034	0.1324	0.1006
8	2.3047	0.1176	0.0983
9	2.3024	0.1462	0.1046
9	2.3024	0.1488	0.1031
11	2.3043	0.1212	0.1014
6	2.3027	0.1184	0.0969
9	2.305	0.1284	0.1007
2	2.3042	0.1164	0.0952
0	2.302	0.1308	0.1024
12	2.3017	0.1272	0.0956
11	2.3058	0.1246	0.1003
9	2.3025	0.1158	0.0986
3	2.3012	0.123	0.0957
7	2.3035	0.1224	0.0954
14	2.3025	0.1292	0.0991
1	2.3023	0.1234	0.102
13	2.3035	0.1194	0.0976
2	2.2996	0.1322	0.1061
6	2.3035	0.1248	0.1039
3	2.3012	0.146	0.1032
10	2.3027	0.1184	0.0993
10	2.3059	0.1228	0.1026
8	2.3041	0.116	0.1012
16	2.3004	0.1412	0.1012
19	2.4807	0.1196	0.1005
18	2.2995	0.1304	0.0981
3	2.3023	0.1244	0.1021
14	2.3035	0.1134	0.0986
1	2.3026	0.1362	0.1028
2	2.3062	0.1248	0.099
6	2.3079	0.1268	0.1005
12	2.3015	0.1158	0.1006
14	2.2985	0.1204	0.0992
19	2.3012	0.1272	0.1011
18	2.303	0.119	0.0992
6	2.3008	0.1328	0.102
12	2.303	0.1306	0.1005
3	2.3037	0.12	0.1004
0	2.3028	0.1132	0.0959
6	2.3021	0.1308	0.0997
19	2.302	0.1084	0.1006
19	2.3032	0.1362	0.1016
6	2.4023	0.1412	0.1012
0	2.3031	0.141	0.1056
10	2.303	0.1242	0.1024
4	2.3014	0.126	0.099
2	2.6451	0.1354	0.0974
1	2.3021	0.1216	0.0998
0	2.3037	0.1252	0.0962
5	2.3039	0.1102	0.0966
9	2.3044	0.1272	0.1051
1	2.3237	0.1408	0.1099
3	2.3019	0.1304	0.101
18	2.2902	0.1226	0.103
6	2.3031	0.127	0.0988
13	2.3028	0.154	0.104
10	2.3481	0.1446	0.1003
18	2.3028	0.1396	0.1052
16	2.3024	0.1206	0.0977
0	2.3017	0.1416	0.1041
6	2.3026	0.1206	0.101
17	2.3033	0.1308	0.0992
14	2.3068	0.1304	0.1008
14	2.3339	0.1192	0.1002
17	2.3019	0.128	0.1034
4	2.3009	0.1236	0.1014
14	2.3013	0.1392	0.1042
9	2.9797	0.1306	0.1008
4	2.3014	0.1206	0.096
2	2.3026	0.1192	0.1014
12	2.5689	0.1466	0.0981
14	2.3026	0.1302	0.0992
15	2.9074	0.1352	0.1015
15	2.3052	0.12	0.099
10	2.3023	0.1518	0.1037
13	2.3028	0.1268	0.0968
1	2.3029	0.1194	0.0998
17	3.9993	0.1298	0.0993
7	2.3029	0.1156	0.1016
7	2.3014	0.1258	0.1035
11	2.3028	0.1204	0.1033
14	2.4008	0.1396	0.1058
4	2.3026	0.1182	0.0916
19	2.3184	0.1256	0.0975
8	2.2985	0.1332	0.104
7	2.2976	0.1272	0.1003
7	2.3011	0.1236	0.1012
11	2.3021	0.134	0.0982
5	2.3025	0.1182	0.1022
3	2.3025	0.124	0.1009
4	2.3031	0.1142	0.093
15	2.3036	0.1244	0.1016
2	2.3594	0.1238	0.0974
9	2.3025	0.1136	0.0967
16	2.3005	0.117	0.1019
17	2.3067	0.1354	0.1004
11	2.302	0.1256	0.0998
2	2.3004	0.1592	0.1007
0	2.3379	0.1242	0.096
18	2.3001	0.1474	0.097
18	2.3024	0.1302	0.1052
16	2.3025	0.1192	0.0964
12	2.3025	0.116	0.0976
0	2.3026	0.114	0.1005
7	2.302	0.1086	0.0981
7	2.3043	0.13	0.099
15	2.3064	0.1452	0.1049
6	2.3022	0.1246	0.0989
10	2.3036	0.115	0.1011
2	2.3082	0.1182	0.1049
4	2.3053	0.1218	0.0986
15	3.9803	0.1346	0.1037
15	2.3004	0.1414	0.0993
17	2.3033	0.1284	0.1038
2	2.3026	0.116	0.0963
2	2.3552	0.1254	0.1026
12	2.336	0.1426	0.1033
19	2.3037	0.1468	0.1047
3	2.3011	0.1482	0.0994
10	2.3054	0.1128	0.0972
8	2.3091	0.1126	0.0964
12	2.3013	0.123	0.0952
15	2.3035	0.1314	0.1001
17	2.3024	0.1314	0.1011
0	2.3022	0.117	0.0993
19	2.3022	0.1272	0.1042
13	2.306	0.1262	0.0996
13	2.3025	0.127	0.0967
15	2.3013	0.1222	0.0972
18	2.303	0.13	0.1029
18	2.3039	0.1178	0.0975
16	2.2997	0.1318	0.0997
13	2.3047	0.1198	0.0949
15	2.4058	0.1238	0.1021
3	2.3017	0.1104	0.097
7	2.3024	0.1266	0.1023
6	2.3024	0.1368	0.1002
58	2.3011	0.1292	0.1014
95	2.3024	0.1388	0.1017
70	2.3028	0.138	0.0998
63	2.3007	0.1316	0.1008
6	2.3012	0.1312	0.099
78	2.3161	0.1496	0.0994
6	2.3009	0.1408	0.1017
48	2.3013	0.1456	0.0999
27	2.3033	0.1428	0.1002
90	2.3009	0.1476	0.1002
81	2.3016	0.1446	0.1004
33	2.3013	0.1458	0.1017
82	2.3018	0.13	0.0986
90	2.3029	0.133	0.0986
2	2.3023	0.1338	0.0995
41	2.3045	0.1256	0.0995
88	2.3021	0.1484	0.1018
13	2.3636	0.1342	0.1006
84	2.3026	0.134	0.0997
64	2.3316	0.1364	0.0995
95	2.3679	0.1336	0.0995
78	2.3029	0.141	0.0994
89	2.3006	0.1404	0.1029
18	2.3018	0.1228	0.0973
20	2.3003	0.1532	0.101
69	2.3022	0.1404	0.1012
61	2.3011	0.149	0.1012
48	2.3009	0.1376	0.0999
99	2.2988	0.1334	0.0992
8	2.3037	0.1326	0.1009
81	2.3022	0.1368	0.1
13	2.3025	0.1464	0.1012
33	2.3028	0.1364	0.0992
63	2.3006	0.1386	0.1003
65	2.6189	0.1468	0.1011
89	2.3017	0.1468	0.1006
98	2.3017	0.1306	0.0992
13	2.3025	0.1264	0.0993
29	2.3032	0.1574	0.0995
20	2.3025	0.1254	0.1
94	2.2997	0.1642	0.1008
22	2.3027	0.1368	0.1017
69	2.4197	0.1424	0.1011
3	2.3025	0.1288	0.1015
47	3.4536	0.1332	0.0987
90	2.3044	0.1284	0.1
77	3.2336	0.145	0.1009
51	2.3024	0.1342	0.1015
67	2.3018	0.1332	0.0994
78	2.3005	0.1304	0.101
13	2.3025	0.1396	0.1019
76	2.3868	0.1396	0.1001
62	2.2989	0.1254	0.0995
13	2.3002	0.1412	0.0997
43	2.2977	0.1336	0.1002
51	2.3015	0.1356	0.1003
12	2.3009	0.139	0.1009
57	2.3013	0.1522	0.1008
51	2.3023	0.1368	0.1014
16	2.3044	0.1392	0.0998
67	2.5505	0.1536	0.099
71	2.3022	0.1366	0.1015
51	3.1424	0.1436	0.0991
62	2.3024	0.1476	0.0984
28	2.3014	0.1426	0.0998
88	2.301	0.133	0.101
99	2.3026	0.1358	0.0995
9	2.9492	0.1272	0.0988
57	2.6462	0.1342	0.0988
79	2.3025	0.1366	0.1001
73	2.4542	0.1288	0.0987
72	2.5254	0.1366	0.101
91	2.3026	0.127	0.0991
86	3.3961	0.1358	0.0991
6	2.5325	0.134	0.0996
23	2.3082	0.144	0.1006
9	2.298	0.123	0.0989
24	2.7204	0.1334	0.0986
3	2.3019	0.1324	0.0992
48	2.3019	0.1408	0.1
56	2.3207	0.1336	0.101
72	2.3004	0.1502	0.1017
74	2.2987	0.137	0.1013
41	3.9403	0.132	0.0982
58	2.2979	0.1512	0.0997
68	2.3007	0.1414	0.1006
58	3.5378	0.1432	0.0997
10	2.3004	0.1368	0.0997
5	2.3031	0.1302	0.0995
60	2.3039	0.1336	0.0981
31	2.2995	0.1412	0.1002
62	2.2995	0.1292	0.1019
7	2.303	0.1218	0.0985
36	2.3064	0.1356	0.0994
30	2.3018	0.1558	0.1001
53	2.3085	0.1424	0.1019
92	2.3019	0.1414	0.1003
40	2.299	0.1448	0.0988
86	2.3022	0.1416	0.1013
43	2.3018	0.1434	0.0998
1	3.1846	0.1442	0.101
8	2.3085	0.1384	0.0999
58	2.3239	0.1392	0.102
80	2.3015	0.1446	0.1008
62	2.3014	0.1356	0.1038
19	2.3115	0.1304	0.0986
60	2.2996	0.1382	0.0979
3	2.3223	0.1302	0.099
74	2.3015	0.139	0.0995
81	2.3033	0.1472	0.1002
84	2.3074	0.139	0.0997
58	2.3012	0.1364	0.0988
13	2.302	0.1384	0.1
50	2.3002	0.14	0.1001
28	2.3085	0.1406	0.1015
42	2.335	0.1346	0.0995
23	2.3018	0.1312	0.1015
7	2.3024	0.1416	0.101
79	3.8111	0.1548	0.0999
