val_loss	val_accuracy	loss	accuracy
1.7027	0.3890	1.8680	0.3219
1.6122	0.4258	1.6650	0.4026
1.5384	0.4528	1.5870	0.4320
1.4925	0.4657	1.5246	0.4562
1.4648	0.4778	1.4831	0.4701
1.4565	0.4810	1.4551	0.4807
1.4374	0.4877	1.4305	0.4901
1.4404	0.4894	1.4097	0.4986
1.4184	0.4974	1.3941	0.5033
1.4044	0.5009	1.3788	0.5097
1.4382	0.4909	1.3629	0.5166
1.3917	0.5038	1.3516	0.5209
1.3981	0.5110	1.3402	0.5231
1.3793	0.5108	1.3274	0.5305
1.3833	0.5106	1.3159	0.5326
1.3814	0.5120	1.3060	0.5364
1.3817	0.5146	1.2960	0.5417
1.3774	0.5176	1.2885	0.5432
1.4040	0.5086	1.2777	0.5473
1.3791	0.5054	1.2718	0.5485
1.3719	0.5162	1.2633	0.5518
1.3772	0.5109	1.2549	0.5531
1.3840	0.5109	1.2464	0.5576
1.3873	0.5118	1.2402	0.5589
1.3769	0.5189	1.2329	0.5616
1.3987	0.5138	1.2280	0.5623
1.3823	0.5170	1.2217	0.5647
1.3949	0.5142	1.2123	0.5695
1.3884	0.5186	1.2073	0.5717
1.3938	0.5114	1.2006	0.5754
1.3730	0.5212	1.1942	0.5760
1.3810	0.5184	1.1908	0.5790
1.3828	0.5214	1.1829	0.5804
1.4076	0.5150	1.1767	0.5833
1.4212	0.5082	1.1707	0.5832
1.3823	0.5183	1.1669	0.5862
1.4078	0.5095	1.1607	0.5878
1.4295	0.5153	1.1559	0.5906
1.4003	0.5211	1.1500	0.5936
1.4029	0.5167	1.1434	0.5929
1.4147	0.5141	1.1386	0.5956
1.4105	0.5216	1.1339	0.5980
1.4119	0.5182	1.1295	0.6006
1.4060	0.5181	1.1238	0.6018
1.4241	0.5166	1.1185	0.6028
1.4175	0.5192	1.1153	0.6023
1.4330	0.5127	1.1051	0.6073
1.4282	0.5168	1.1026	0.6067
1.4497	0.5152	1.0964	0.6104
1.4339	0.5132	1.0913	0.6132
1.4409	0.5144	1.0879	0.6118
1.4539	0.5157	1.0824	0.6165
1.4565	0.5126	1.0768	0.6174
1.4640	0.5189	1.0723	0.6195
1.4606	0.5137	1.0677	0.6212
1.4664	0.5162	1.0622	0.6240
1.4594	0.5156	1.0599	0.6237
1.4781	0.5109	1.0549	0.6246
1.4828	0.5119	1.0507	0.6263
1.4896	0.5121	1.0451	0.6295
1.4785	0.5034	1.0430	0.6316
1.5014	0.5131	1.0363	0.6325
1.4910	0.5073	1.0338	0.6333
1.4920	0.5074	1.0254	0.6363
1.5158	0.5056	1.0225	0.6384
1.5058	0.5080	1.0196	0.6375
1.4966	0.5086	1.0134	0.6404
1.5110	0.5106	1.0093	0.6413
1.5376	0.4999	1.0031	0.6423
1.5440	0.5094	1.0022	0.6434
1.5332	0.5059	0.9961	0.6471
1.5648	0.5032	0.9922	0.6470
1.5475	0.5024	0.9884	0.6502
1.5419	0.5041	0.9837	0.6516
1.5396	0.5035	0.9791	0.6530
1.5607	0.5079	0.9778	0.6555
1.5773	0.5048	0.9703	0.6541
1.5840	0.5008	0.9665	0.6565
1.5657	0.5066	0.9619	0.6598
1.6007	0.5029	0.9590	0.6602
1.5815	0.5050	0.9560	0.6614
1.5959	0.5018	0.9519	0.6628
1.6076	0.5026	0.9468	0.6644
1.6094	0.5037	0.9432	0.6654
1.6115	0.5017	0.9388	0.6652
1.6269	0.5045	0.9381	0.6665
1.6212	0.5005	0.9334	0.6696
1.6478	0.5032	0.9271	0.6717
1.6346	0.5027	0.9251	0.6716
1.6653	0.4897	0.9227	0.6712
1.6765	0.5007	0.9156	0.6757
1.6722	0.4923	0.9135	0.6768
1.6619	0.4977	0.9097	0.6793
1.6827	0.4993	0.9058	0.6792
1.6799	0.4949	0.9039	0.6780
1.7058	0.4961	0.9011	0.6809
1.6900	0.4990	0.8974	0.6829
1.7090	0.4991	0.8898	0.6846
1.7296	0.4971	0.8893	0.6836
1.7283	0.4933	0.8841	0.6852
1.7220	0.4996	0.8839	0.6851
1.7548	0.4887	0.8739	0.6896
1.7434	0.4956	0.8748	0.6889
1.7463	0.4975	0.8737	0.6898
1.7608	0.4947	0.8692	0.6915
1.7550	0.4953	0.8641	0.6932
1.7692	0.4939	0.8591	0.6953
1.7821	0.4932	0.8593	0.6929
1.7985	0.4908	0.8530	0.6974
1.8034	0.4893	0.8516	0.6979
1.7906	0.4928	0.8481	0.6982
1.8147	0.4907	0.8461	0.7018
1.8231	0.4908	0.8412	0.7016
1.8385	0.4884	0.8407	0.7019
1.8395	0.4869	0.8351	0.7050
1.8571	0.4920	0.8329	0.7049
1.8413	0.4962	0.8282	0.7061
1.8634	0.4909	0.8254	0.7067
1.8890	0.4904	0.8225	0.7093
1.8426	0.4916	0.8179	0.7101
1.8910	0.4895	0.8153	0.7116
1.8952	0.4879	0.8133	0.7124
1.8921	0.4909	0.8092	0.7137
1.9077	0.4854	0.8060	0.7148
1.9302	0.4896	0.8042	0.7154
1.9473	0.4851	0.8029	0.7186
1.9333	0.4863	0.7976	0.7175
1.9514	0.4847	0.7952	0.7187
1.9554	0.4885	0.7920	0.7209
1.9797	0.4829	0.7892	0.7222
1.9702	0.4848	0.7877	0.7212
1.9936	0.4896	0.7853	0.7220
1.9744	0.4837	0.7804	0.7231
2.0064	0.4862	0.7770	0.7241
1.9965	0.4837	0.7746	0.7261
1.9983	0.4805	0.7742	0.7269
2.0185	0.4854	0.7684	0.7276
2.0305	0.4894	0.7716	0.7279
2.0485	0.4892	0.7647	0.7293
2.0640	0.4838	0.7617	0.7313
2.0536	0.4829	0.7590	0.7308
2.0633	0.4821	0.7564	0.7325
2.0922	0.4837	0.7545	0.7335
2.0896	0.4863	0.7496	0.7338
2.0865	0.4904	0.7470	0.7367
2.1406	0.4723	0.7486	0.7340
2.1169	0.4858	0.7415	0.7396
2.1494	0.4811	0.7386	0.7384
2.1373	0.4911	0.7364	0.7386
2.1503	0.4797	0.7346	0.7398
2.1631	0.4856	0.7328	0.7404
2.1727	0.4832	0.7286	0.7419
2.1626	0.4811	0.7266	0.7421
2.1996	0.4844	0.7275	0.7426
2.1880	0.4795	0.7236	0.7435
2.2362	0.4784	0.7160	0.7472
2.2305	0.4784	0.7166	0.7452
2.2041	0.4802	0.7155	0.7460
2.2309	0.4760	0.7117	0.7489
2.2444	0.4832	0.7110	0.7502
2.2259	0.4773	0.7078	0.7492
2.2395	0.4775	0.7060	0.7494
2.2951	0.4808	0.7064	0.7497
2.2906	0.4777	0.7017	0.7512
2.2780	0.4808	0.7006	0.7524
2.2947	0.4775	0.6986	0.7534
2.3012	0.4741	0.6944	0.7552
2.3082	0.4800	0.6935	0.7542
2.3213	0.4783	0.6871	0.7576
2.3221	0.4751	0.6901	0.7560
2.3267	0.4745	0.6864	0.7571
2.3329	0.4749	0.6865	0.7576
2.3608	0.4820	0.6806	0.7602
2.3696	0.4792	0.6839	0.7585
2.3683	0.4751	0.6769	0.7602
2.3899	0.4725	0.6732	0.7625
2.3972	0.4784	0.6725	0.7628
2.4544	0.4732	0.6686	0.7653
2.4196	0.4760	0.6704	0.7637
