val_loss	val_accuracy	loss	accuracy
0.4931	0.8386	0.6870	0.7794
0.4268	0.8621	0.4565	0.8522
0.4034	0.8731	0.4146	0.8630
0.3906	0.8768	0.3926	0.8713
0.3818	0.8745	0.3775	0.8770
0.3748	0.8772	0.3666	0.8805
0.3660	0.8782	0.3591	0.8814
0.3701	0.8784	0.3514	0.8843
0.3520	0.8859	0.3478	0.8867
0.3534	0.8868	0.3419	0.8880
0.3573	0.8843	0.3375	0.8898
0.3504	0.8876	0.3334	0.8896
0.3466	0.8876	0.3305	0.8909
0.3506	0.8860	0.3277	0.8911
0.3523	0.8842	0.3251	0.8920
0.3335	0.8925	0.3224	0.8930
0.3470	0.8850	0.3207	0.8943
0.3445	0.8884	0.3187	0.8942
0.3303	0.8918	0.3173	0.8950
0.3299	0.8897	0.3160	0.8960
0.3448	0.8886	0.3130	0.8950
0.3218	0.8950	0.3127	0.8964
0.3386	0.8896	0.3098	0.8963
0.3374	0.8908	0.3083	0.8983
0.3295	0.8922	0.3072	0.8984
0.3215	0.8975	0.3071	0.8980
0.3245	0.8948	0.3060	0.8988
0.3220	0.8956	0.3038	0.8991
0.3247	0.8946	0.3031	0.9006
0.3238	0.8948	0.3013	0.9001
0.3230	0.8930	0.2998	0.9010
0.3299	0.8905	0.3005	0.9004
0.3214	0.8940	0.3000	0.9013
0.3232	0.8936	0.2990	0.9008
0.3357	0.8907	0.2970	0.9024
0.3232	0.8951	0.2972	0.9013
0.3179	0.8976	0.2958	0.9026
0.3181	0.8973	0.2959	0.9012
0.3229	0.8945	0.2934	0.9040
0.3367	0.8912	0.2932	0.9035
0.3179	0.8981	0.2928	0.9025
0.3219	0.8914	0.2913	0.9031
0.3148	0.8971	0.2915	0.9035
0.3237	0.8975	0.2906	0.9038
0.3156	0.8946	0.2899	0.9040
0.3229	0.8948	0.2903	0.9036
0.3138	0.8987	0.2886	0.9045
0.3240	0.8958	0.2881	0.9041
0.3141	0.8972	0.2875	0.9054
0.3092	0.8997	0.2873	0.9050
