val_loss	val_accuracy	loss	accuracy
2.2742	0.1438	2.2938	0.1096
2.1344	0.1956	2.1921	0.1852
1.9876	0.2859	2.0773	0.2457
1.8699	0.3229	1.9083	0.3133
1.7719	0.3658	1.8109	0.3514
1.7041	0.3872	1.7371	0.3786
1.7080	0.3847	1.6909	0.3963
1.6378	0.4235	1.6613	0.4076
1.6132	0.4288	1.6339	0.4188
1.6123	0.4234	1.6127	0.4244
1.5825	0.4354	1.5937	0.4335
1.5854	0.4397	1.5745	0.4396
1.5503	0.4501	1.5572	0.4465
1.5375	0.4485	1.5404	0.4528
1.5333	0.4552	1.5229	0.4585
1.5141	0.4650	1.5075	0.4650
1.5233	0.4579	1.4892	0.4708
1.4753	0.4766	1.4734	0.4762
1.4704	0.4733	1.4609	0.4815
1.4451	0.4855	1.4460	0.4868
1.4971	0.4705	1.4301	0.4914
1.4614	0.4837	1.4162	0.4945
1.4132	0.4961	1.4046	0.5014
1.3960	0.5026	1.3908	0.5063
1.4023	0.5010	1.3801	0.5103
1.4362	0.4933	1.3690	0.5143
1.3821	0.5043	1.3591	0.5179
1.3990	0.5067	1.3514	0.5225
1.4161	0.5037	1.3414	0.5246
1.3841	0.5040	1.3345	0.5250
1.4008	0.5002	1.3267	0.5298
1.3569	0.5194	1.3196	0.5305
1.3684	0.5154	1.3117	0.5358
1.3809	0.5119	1.3038	0.5380
1.3671	0.5121	1.2964	0.5407
1.3557	0.5185	1.2908	0.5427
1.3561	0.5155	1.2839	0.5456
1.3465	0.5213	1.2775	0.5465
1.3462	0.5194	1.2720	0.5494
1.3453	0.5197	1.2643	0.5523
1.3527	0.5221	1.2592	0.5525
1.3480	0.5248	1.2533	0.5549
1.3627	0.5191	1.2481	0.5576
1.3391	0.5266	1.2419	0.5603
1.3405	0.5262	1.2372	0.5614
1.3458	0.5237	1.2320	0.5633
1.3601	0.5151	1.2278	0.5650
1.3614	0.5214	1.2204	0.5686
1.4037	0.5073	1.2172	0.5697
1.3445	0.5223	1.2132	0.5694
1.3498	0.5277	1.2053	0.5708
1.3670	0.5163	1.2030	0.5711
1.3517	0.5238	1.1970	0.5762
1.3535	0.5262	1.1942	0.5769
1.3350	0.5308	1.1871	0.5791
1.3379	0.5263	1.1832	0.5805
1.3386	0.5303	1.1778	0.5810
1.3387	0.5292	1.1751	0.5825
1.3566	0.5267	1.1707	0.5832
1.3248	0.5342	1.1650	0.5867
1.3569	0.5269	1.1613	0.5884
1.3488	0.5291	1.1571	0.5908
1.3539	0.5244	1.1520	0.5928
1.3426	0.5321	1.1481	0.5924
1.3512	0.5304	1.1430	0.5950
1.3629	0.5267	1.1384	0.5973
1.3769	0.5192	1.1347	0.6004
1.3708	0.5275	1.1302	0.6004
1.3597	0.5291	1.1250	0.6015
1.3716	0.5274	1.1204	0.6028
1.3488	0.5321	1.1193	0.6030
1.3678	0.5276	1.1125	0.6050
1.4263	0.5124	1.1088	0.6067
1.3887	0.5140	1.1053	0.6081
1.3675	0.5247	1.0999	0.6095
1.3700	0.5276	1.0980	0.6115
1.3912	0.5221	1.0928	0.6117
1.3950	0.5237	1.0897	0.6139
1.3741	0.5298	1.0865	0.6164
1.3884	0.5322	1.0798	0.6174
1.4075	0.5182	1.0773	0.6178
1.3868	0.5245	1.0735	0.6179
1.3878	0.5308	1.0675	0.6225
1.4138	0.5204	1.0650	0.6237
1.3966	0.5264	1.0617	0.6237
1.4074	0.5244	1.0567	0.6256
1.3764	0.5300	1.0520	0.6276
1.4033	0.5207	1.0498	0.6278
1.3882	0.5289	1.0459	0.6301
1.4231	0.5189	1.0419	0.6317
1.4143	0.5250	1.0364	0.6325
1.3947	0.5266	1.0343	0.6325
1.4116	0.5272	1.0286	0.6361
1.3900	0.5317	1.0266	0.6359
1.4128	0.5270	1.0241	0.6372
1.4431	0.5201	1.0192	0.6393
1.4278	0.5254	1.0149	0.6417
1.4182	0.5286	1.0115	0.6427
1.4229	0.5280	1.0064	0.6432
1.4435	0.5239	1.0036	0.6436
1.4277	0.5218	1.0007	0.6453
1.4149	0.5254	0.9978	0.6456
1.4531	0.5217	0.9942	0.6477
1.4641	0.5217	0.9885	0.6494
1.4434	0.5203	0.9853	0.6493
1.4445	0.5237	0.9822	0.6532
1.4437	0.5228	0.9781	0.6519
1.4607	0.5182	0.9751	0.6544
1.4615	0.5160	0.9716	0.6551
1.4804	0.5179	0.9673	0.6578
1.4695	0.5207	0.9649	0.6589
1.4724	0.5131	0.9618	0.6589
1.4472	0.5196	0.9566	0.6611
1.5049	0.5153	0.9554	0.6611
1.4750	0.5158	0.9508	0.6631
1.4768	0.5236	0.9455	0.6649
1.4736	0.5171	0.9451	0.6647
1.4691	0.5213	0.9411	0.6661
1.5528	0.5119	0.9358	0.6700
1.4733	0.5179	0.9352	0.6706
1.5218	0.5176	0.9297	0.6712
1.4993	0.5227	0.9277	0.6727
1.4908	0.5177	0.9234	0.6728
1.5015	0.5172	0.9201	0.6736
1.5760	0.4964	0.9180	0.6740
1.5038	0.5271	0.9139	0.6750
1.5087	0.5136	0.9108	0.6775
1.5348	0.5153	0.9067	0.6789
1.5268	0.5191	0.9038	0.6784
1.5066	0.5203	0.9009	0.6823
1.5313	0.5179	0.8982	0.6810
1.5819	0.5160	0.8934	0.6844
1.5669	0.5151	0.8912	0.6853
